0,1,2,3,4,5,6,7
"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, nan]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, nan]","[0.0, 0.013065957433008688, 0.0, 0.018589967103637577, 0.022389149654567075, 0.02928951350516697, 0.013257258878167985, -0.0]","[0.0, 0.022857847131721006, 0.017000537060100938, 0.0, 0.023285089179391875, 0.017411390048127907, 0.019138131665214664, -0.0]","[0.0, 0.018774749199736856, 0.024226055494882322, 0.023285089179391875, 0.0, 0.012546595283079423, 0.014898541825110256, -0.0]","[0.0, 0.012102078221159869, 0.010426145805929803, 0.015171432622347724, 0.012162938407875834, 0.0, 0.016253852016204086, -0.0]","[0.0, 0.010317263331933078, 0.010910372638039139, 0.0174171966948819, 0.015378621222335784, 0.020822098254812765, 0.0, 0.0]","[0.0, 0.018099933391137454, 0.017608343273656492, 0.018665592503095754, 0.01823066666746094, 0.013235951164084997, 0.019237479304691597, 0.0]"
"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, nan]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, nan]","[0.0, 0.013065957433008688, 0.0, 0.01425230811278881, 0.022823890424558665, 0.02928951350516697, 0.013418932766926132, -0.0]","[0.0, 0.022048719799624687, 0.01679321343741678, 0.0, 0.02299761894260926, 0.017411390048127907, 0.020321933623887737, -0.0]","[0.0, 0.012712069770655162, 0.024226055494882322, 0.02299761894260926, 0.0, 0.012391699045016713, 0.014898541825110256, -0.0]","[0.0, 0.012257233070149098, 0.011319815446438073, 0.015171432622347724, 0.012162938407875834, 0.0, 0.016253852016204086, -0.0]","[0.0, 0.010317263331933078, 0.010910372638039139, 0.01764049408840603, 0.01557085398761498, 0.020822098254812765, 0.0, 0.0]","[0.0, 0.017873684223748236, 0.0180598392550323, 0.018665592503095754, 0.01823066666746094, 0.012892160224758113, 0.018999979560189232, 0.0]"
"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, nan]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, nan]","[0.0, 0.013229281900921297, 0.0, 0.0068163212713337785, 0.021737038499579683, 0.028927914573004414, 0.01309558498940984, -0.0]","[0.0, 0.019014492304263494, 0.01679321343741678, 0.0, 0.02299761894260926, 0.017411390048127907, 0.019927332970996713, -0.0]","[0.0, 0.00880066368737665, 0.02392322980119629, 0.02299761894260926, 0.0, 0.012391699045016713, 0.014714609209985439, -0.0]","[0.0, 0.012257233070149098, 0.012064540146861629, 0.015171432622347724, 0.012162938407875834, 0.0, 0.016253852016204086, -0.0]","[0.0, 0.010317263331933078, 0.01106403985829321, 0.01764049408840603, 0.015378621222335784, 0.021082374482997924, 0.0, 0.0]","[0.0, 0.017873684223748236, 0.0180598392550323, 0.018665592503095754, 0.01777490000077442, 0.012892160224758113, 0.018999979560189232, 0.0]"
"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, nan]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, nan]","[0.0, 0.013065957433008688, 0.0, 0.0006196655701212527, 0.020215445804609104, 0.028927914573004414, 0.012772237211893547, -0.0]","[0.0, 0.015171137476805978, 0.016585889814732625, 0.0, 0.023285089179391875, 0.017193747672526308, 0.018348930359432615, -0.0]","[0.0, 0.0070405309499013205, 0.02392322980119629, 0.023285089179391875, 0.0, 0.012391699045016713, 0.014714609209985439, -0.0]","[0.0, 0.012257233070149098, 0.012958209787369898, 0.015171432622347724, 0.012162938407875834, 0.0, 0.016253852016204086, -0.0]","[0.0, 0.010317263331933078, 0.013522715382358368, 0.017863791481930152, 0.015378621222335784, 0.020822098254812765, 0.0, -0.0]","[0.0, 0.018099933391137454, 0.017834091264344397, 0.018432272596807058, 0.01800278333411768, 0.013064055694421555, 0.018999979560189232, 0.0]"
"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, nan]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, nan]","[0.0, 0.013065957433008688, 0.0, 0.0008262207601616702, 0.01847648272464273, 0.028927914573004414, 0.0126105633231354, -0.0]","[0.0, 0.012136909981444783, 0.016585889814732625, 0.0, 0.02299761894260926, 0.017629032423729506, 0.01677052774786852, -0.0]","[0.0, 0.008605093383212725, 0.02392322980119629, 0.02299761894260926, 0.0, 0.012391699045016713, 0.014714609209985439, -0.0]","[0.0, 0.012412387919138327, 0.013702934487793455, 0.015171432622347724, 0.012162938407875834, 0.0, 0.016253852016204086, -0.0]","[0.0, 0.010188297540283916, 0.016596059787439815, 0.017863791481930152, 0.015186388457056586, 0.021082374482997924, 0.0, -0.0]","[0.0, 0.018099933391137454, 0.017834091264344397, 0.017732312877940967, 0.01777490000077442, 0.013407846633748438, 0.018999979560189232, 0.0]"
"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, nan]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, nan]","[0.0, 0.013065957433008688, 0.0, 0.008675317981697536, 0.01652014925968056, 0.028927914573004414, 0.01228721554561911, -0.0]","[0.0, 0.010923218983300304, 0.016378566192048465, 0.0, 0.023285089179391875, 0.017411390048127907, 0.014402923830522376, -0.0]","[0.0, 0.012712069770655162, 0.024226055494882322, 0.023285089179391875, 0.0, 0.012546595283079423, 0.014714609209985439, -0.0]","[0.0, 0.012567542768127556, 0.014298714248132302, 0.015171432622347724, 0.012162938407875834, 0.0, 0.016253852016204086, -0.0]","[0.0, 0.010317263331933078, 0.017057061448202033, 0.017863791481930152, 0.015186388457056586, 0.020822098254812765, 0.0, -0.0]","[0.0, 0.018099933391137454, 0.0180598392550323, 0.018432272596807058, 0.01800278333411768, 0.013923533042738762, 0.018999979560189232, 0.0]"
"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, nan]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, nan]","[0.0, 0.013065957433008688, 0.0, 0.020448963814001336, 0.015215926949705779, 0.02856631564084186, 0.012448889434377256, -0.0]","[0.0, 0.011327782649348464, 0.016378566192048465, 0.0, 0.02299761894260926, 0.017411390048127907, 0.013219121871849305, -0.0]","[0.0, 0.01721018676642545, 0.024226055494882322, 0.02299761894260926, 0.0, 0.012391699045016713, 0.014714609209985439, -0.0]","[0.0, 0.012412387919138327, 0.01400082436796288, 0.015171432622347724, 0.012162938407875834, 0.0, 0.016253852016204086, -0.0]","[0.0, 0.010188297540283916, 0.017057061448202033, 0.017863791481930152, 0.015378621222335784, 0.021082374482997924, 0.0, -0.0]","[0.0, 0.018099933391137454, 0.0180598392550323, 0.018432272596807058, 0.01823066666746094, 0.013923533042738762, 0.018999979560189232, 0.0]"
"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, nan]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, nan]","[0.0, 0.013229281900921297, 0.0, 0.031602944076183886, 0.014563815794718387, 0.02856631564084186, 0.0126105633231354, -0.0]","[0.0, 0.013552882812613342, 0.016585889814732625, 0.0, 0.02299761894260926, 0.017411390048127907, 0.01677052774786852, -0.0]","[0.0, 0.02112159284970396, 0.02452888118856835, 0.02299761894260926, 0.0, 0.012391699045016713, 0.014898541825110256, -0.0]","[0.0, 0.012412387919138327, 0.012958209787369898, 0.015171432622347724, 0.012314975137974282, 0.0, 0.016253852016204086, -0.0]","[0.0, 0.010188297540283916, 0.015981390906423525, 0.017863791481930152, 0.01557085398761498, 0.020822098254812765, 0.0, -0.0]","[0.0, 0.018099933391137454, 0.018285587245720204, 0.018432272596807058, 0.018458550000804205, 0.014095428512402204, 0.019237479304691597, 0.0]"
"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, nan]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, nan]","[0.0, 0.012902632965096078, 0.0, 0.03717993420727515, 0.015215926949705779, 0.028927914573004414, 0.012772237211893547, -0.0]","[0.0, 0.015980264808902297, 0.016585889814732625, 0.0, 0.02299761894260926, 0.017411390048127907, 0.019138131665214664, -0.0]","[0.0, 0.022295014674687516, 0.024226055494882322, 0.02299761894260926, 0.0, 0.012391699045016713, 0.014714609209985439, -0.0]","[0.0, 0.012412387919138327, 0.011468760386522784, 0.015171432622347724, 0.012162938407875834, 0.0, 0.016457025166406635, -0.0]","[0.0, 0.010188297540283916, 0.013522715382358368, 0.0174171966948819, 0.015186388457056586, 0.020822098254812765, 0.0, 0.0]","[0.0, 0.018099933391137454, 0.0180598392550323, 0.018432272596807058, 0.018458550000804205, 0.01375163757307532, 0.018999979560189232, 0.0]"
"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, nan]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, nan]","[0.0, 0.013065957433008688, 0.0, 0.034288161546709314, 0.01586803810469317, 0.028927914573004414, 0.012772237211893547, -0.0]","[0.0, 0.018205364972167175, 0.016585889814732625, 0.0, 0.02299761894260926, 0.017411390048127907, 0.018348930359432615, 0.0]","[0.0, 0.020926022545540036, 0.024226055494882322, 0.02299761894260926, 0.0, 0.012546595283079423, 0.014346743979735803, 0.0]","[0.0, 0.012102078221159869, 0.010426145805929803, 0.015171432622347724, 0.012314975137974282, 0.0, 0.016253852016204086, 0.0]","[0.0, 0.010188297540283916, 0.009834702096260632, 0.01764049408840603, 0.01557085398761498, 0.020822098254812765, 0.0, 0.0]","[0.0, 0.018099933391137454, 0.0180598392550323, 0.018432272596807058, 0.01823066666746094, 0.013579742103411879, 0.018999979560189232, 0.0]"
